PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
02xjI,4Q1k1/5p2/p2p2pp/1prq1P2/8/1P6/P5PP/5RK1 b - - 1 36,g8h7 f5g6 h7g6 e8g8 g6h5 h2h3 d5d4 g1h1,2409,78,74,52,attraction crushing defensiveMove endgame quietMove veryLong,https://lichess.org/X4vCao11/black#72,
02xjV,r2qk2r/1pp2ppp/p1Pp2b1/4p1b1/B5P1/3P1N1P/PPP2P2/R2QK2R b KQkq - 0 12,b7b6 h3h4 g5f4 h4h5,1883,74,92,1115,advantage middlegame short,https://lichess.org/G7rktxjN/black#24,Ruy_Lopez Ruy_Lopez_Morphy_Defense
02xnk,8/6k1/1n2pr2/1R4Kp/p6P/P7/1P2R3/8 w - - 0 43,b5b6 f6f5,789,82,87,422,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/MKNdpzQ4#85,
02xoa,8/1p4Q1/p1p5/P2r1k1P/1P6/4qpP1/2K5/3R4 w - - 4 62,g7f7 f5g4 d1d5 c6d5 f7d7 g4g3 d7g7 g3f2 h5h6 d5d4 h6h7 d4d3 c2b2 d3d2 h7h8q d2d1q h8h2 f2f1 h2h1 f1e2,2754,93,85,77,advancedPawn crushing defensiveMove endgame exposedKing master masterVsMaster promotion quietMove veryLong,https://lichess.org/LtneVdvK#123,
02xqj,2r1r1k1/pb3p1p/1p1q2p1/3nb3/2B1R3/2P3BP/PPQ2PP1/3R2K1 w - - 0 20,g3e5 e8e5,1651,125,36,14,advantage middlegame oneMove,https://lichess.org/wsPYwvhi#39,
02xr4,4r1k1/pbp1rq1p/1p1p1np1/3P4/1PPQpPP1/1B2N3/P5K1/R2R4 b - - 0 32,f6g4 e3g4 f7f4 g4f6,1437,76,93,8827,advantage middlegame short,https://lichess.org/3fNCQuNU/black#64,
02xva,8/p2NR1pk/7p/8/6r1/4pK2/2n4P/8 b - - 7 45,g4g6 d7f8 h7g8 f8g6,927,79,95,2824,advantage endgame fork short,https://lichess.org/6xOZ1IyH/black#90,
02xvz,r6k/1b4pp/p2p4/4p3/1R3r2/8/PPqNQ1PP/5R1K b - - 3 27,c2d2 b4f4 d2f4 f1f4,1390,249,43,3,advantage master middlegame short,https://lichess.org/TKqMYLbJ/black#54,
02xwm,2k4r/pppr4/6pp/8/5Kb1/1B4P1/PPP5/R4R2 b - - 0 30,h8f8 f4g4 f8f1 a1f1,1041,85,94,1236,advantage endgame hangingPiece short,https://lichess.org/7zD7YhyS/black#60,
02y1Y,4k3/2p5/p1P1p3/4P1K1/P4r2/8/6R1/8 b - - 0 45,f4a4 g5f6 a4f4 f6e6,959,80,73,42,crushing endgame rookEndgame short,https://lichess.org/MtkFEFn4/black#90,
02y3e,8/6k1/6Pp/p1p1pP1K/PpPp4/1P1P4/8/8 w - - 0 66,h5g4 e5e4 d3e4 d4d3 g4f3 h6h5 f3e3 h5h4,2389,79,78,107,crushing defensiveMove endgame pawnEndgame quietMove veryLong,https://lichess.org/nvw8rCSN#131,
02y4j,q1rr2k1/1b2bpp1/p2ppn1p/8/2P1P3/P2B1N2/1B2QPPP/3RR1K1 b - - 0 22,f6e4 d3e4 b7e4 e2e4 a8e4 e1e4,946,87,94,380,advantage long master masterVsMaster middlegame,https://lichess.org/ksubAP2z/black#44,
02y6e,qr1r2k1/5p2/4p1p1/p3P1Np/5nPQ/P7/1P1R1P1P/3R2K1 w - - 1 27,d2d8 b8d8 d1d8 a8d8,659,101,77,381,crushing middlegame short,https://lichess.org/gbV43O6e#53,
02y7C,r1bqr1k1/p3bppp/7B/3pQ2n/8/1PN5/PP3PPP/R3R1K1 b - - 4 18,e7f6 e5e8 d8e8 e1e8,982,84,95,630,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/5vZp2vWh/black#36,French_Defense French_Defense_Steinitz_Attack
02yBm,r1b1qrk1/pppp1p1p/1b3QpB/4p3/2n1P3/2P2N2/PP3PPP/RN2K2R b KQ - 1 12,e8e6 f6g7,828,101,91,554,mate mateIn1 oneMove opening,https://lichess.org/hN6LbVvp/black#24,Italian_Game Italian_Game_Rosentreter_Gambit
02yET,2r3k1/1R1n4/3B1p2/1P1Pp3/4PpPp/5PbP/6r1/1K1R4 b - - 0 43,d7c5 d6c5 c8c5 d5d6 c5c4 b7a7 c4b4 b1a1 g3f2 d6d7 f2d4 d1d4 b4d4 a7a8,2710,113,91,741,advancedPawn crushing master middlegame quietMove sacrifice veryLong,https://lichess.org/jr2bE5B0/black#86,
02yF0,r2qr1k1/pp3ppp/1np5/3pR2b/3P4/2N2N1P/PPP1QP2/4R1K1 b - - 4 21,b6c4 e5e8 d8e8 e2e8 a8e8 e1e8,993,78,78,91,backRankMate fork long mate mateIn3 middlegame,https://lichess.org/gxeJdrjz/black#42,
02yFZ,r3kr2/pppq1pQp/3p4/3P4/8/2P1n1P1/PB1nN2P/R2R3K b q - 1 18,d7h3 e2f4 h3f5 d1d2,1076,302,-67,9,advantage middlegame short,https://lichess.org/iktTKtGe/black#36,English_Opening English_Opening_Kings_English_Variation
02yHD,3Q4/7p/P7/6pk/8/5pPK/5P1P/8 w - - 2 60,a6a7 g5g4,553,102,86,365,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/X0REfN5a#119,
02yOM,1r1Q3k/5Rpp/5b2/p1p1p3/7P/2P3P1/P3qP2/3R2K1 b - - 5 31,b8d8 d1d8 f6d8 f7f8,1060,175,67,23,backRankMate endgame mate mateIn2 short,https://lichess.org/ZluQb167/black#62,
02yT2,rnq4r/ppN1kppp/4pB2/8/4b3/5Q2/PPP3PP/2KR2NR b - - 0 15,g7f6 f3a3,1520,79,94,2758,mate mateIn1 middlegame oneMove,https://lichess.org/FuZYCm7F/black#30,Blackmar-Diemer_Gambit_Accepted Blackmar-Diemer_Gambit_Accepted_Ryder_Gambit
02yVL,3q1rk1/p1p2pp1/brpp1b1p/4p3/Q1P1P3/3P1N1P/P2N1PP1/1R2R1K1 b - - 3 14,d8b8 b1b6 a7b6 a4a6 b8a8 a6a8,1723,76,86,869,advantage capturingDefender long middlegame,https://lichess.org/YqqfiaAM/black#28,Ruy_Lopez Ruy_Lopez_Steinitz_Defense
02yab,8/8/8/8/8/2R1bk1p/5Np1/6K1 w - - 6 62,c3c2 f3g3 c2c8 h3h2,2186,79,89,399,advancedPawn endgame master mate mateIn2 short,https://lichess.org/9wLtXMET#123,
02yan,2r1k3/ppB4p/7q/8/3PP1b1/P4nP1/P1Q4P/2R2R1K w - - 3 24,c2a4 g4d7 a4c2 c8c7 c2b2 c7c1,1665,75,88,93,advantage defensiveMove long middlegame pin,https://lichess.org/qA8ED0cN#47,
02yao,1r1bk2r/2q4p/3p1Pp1/4p1P1/p2pPn2/P2P3R/1P1Q4/1KNN3R w k - 2 28,h3h7 h8h7 h1h7 c7h7,1196,114,60,33,crushing middlegame short,https://lichess.org/g6rUwfLK#55,
02yau,3r1knr/p4ppp/8/1p1NPb2/2Pn4/P7/1P3PPP/2RK1BNR w - - 0 16,g1f3 d4f3 g2f3 b5c4 f1c4 g8e7 d1e2 e7d5 c4d5 d8d5,2466,82,79,114,crushing middlegame pin veryLong,https://lichess.org/cbUv6ClT#31,Queens_Gambit_Declined Queens_Gambit_Declined_Albin_Countergambit
02ye0,2kr1bR1/ppp2p1p/4pq2/8/5p2/2N2Q2/PPPBBK2/8 w - - 1 24,f3f4 f6f4 d2f4 f8c5 f2f3 d8g8,1895,75,92,1054,advantage discoveredAttack exposedKing long middlegame,https://lichess.org/1xo7QtPE#47,
02yeg,r4rk1/p1npqppp/b1n1p3/1p2P3/4N3/3Q1N2/PPB2PPP/R2R2K1 b - - 3 17,b5b4 e4f6 g7f6 d3h7,1830,78,62,338,discoveredAttack kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/djtoOszl/black#34,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit
02yfS,r5k1/pp3pp1/6qp/3P3n/8/1P1BRP1P/4RP1K/8 b - - 7 26,g6g5 e3e8 a8e8 e2e8,600,102,65,544,endgame mate mateIn2 short,https://lichess.org/75bHyRxx/black#52,
02yiN,r5k1/p4rpp/Q2R4/8/4n3/P2p1N2/P1q2PPP/R5K1 w - - 2 28,a6d3 c2f2 g1h1 e4d6,1920,77,93,8677,advantage middlegame short,https://lichess.org/lPB0ptsZ#55,
02yjQ,r2q1rk1/pp2pp2/3p3p/6p1/2P1P3/Pn1Q1PP1/1P3P2/RB2K2R b KQ - 2 20,b3a1 e4e5 f7f5 e5f6 f8f6 d3h7 g8f8 b1g6 f6g6 h7g6,2475,88,85,553,advantage clearance enPassant kingsideAttack middlegame quietMove veryLong,https://lichess.org/Gvo7ZlGs/black#40,
02yo7,r1b2rk1/ppp2pp1/2np2qp/1BbNp3/4P3/3P1N1P/PPP2PP1/R2QK2R b KQ - 3 10,c6b4 d5e7 g8h7 e7g6,1061,93,67,39,crushing fork opening short,https://lichess.org/rVK1n3ZW/black#20,Italian_Game Italian_Game_Giuoco_Pianissimo
02yoc,4k3/7R/1pp3r1/8/P3r2p/1B3K2/1PP5/8 b - - 2 50,e4b4 b3f7 e8e7 f7g6,947,76,95,2668,advantage discoveredAttack endgame fork master short,https://lichess.org/jnOiltKW/black#100,
02ypY,6k1/5p1p/2R1p1p1/4N3/3PPP2/r4K1P/3b2P1/8 w - - 1 39,f3g4 h7h5 g4g5 g8g7 e5g6 a3g3,2422,78,75,81,crushing endgame long,https://lichess.org/nQ8NmG8X#77,
02yri,5r1k/pp4pp/5r2/3R4/3n3N/P6Q/1q3PPP/5RK1 b - - 4 29,f6f2 h4g6 h8g8 g6e7 g8f7 f1f2 b2f2 g1f2,2106,75,94,4059,crushing fork middlegame pin veryLong,https://lichess.org/cTlEQq4U/black#58,
02yro,1r2r1k1/p1p2pp1/2Qpq2p/4P1n1/8/2N5/PPP2PPP/1R2R1K1 w - - 1 18,e5d6 e6e1 b1e1 e8e1,553,91,93,999,backRankMate mate mateIn2 middlegame short,https://lichess.org/qyZ3jL8z#35,Four_Knights_Game Four_Knights_Game_Spanish_Variation
02yrs,2kr1bnr/ppq2ppp/2p1p3/3pP1N1/8/1P1QB3/P1P2PPP/RN2K2R w KQ - 1 11,e3a7 c7e5 d3e3 e5a1 e1g1 a1f6,2257,76,92,1195,advantage fork long opening pin,https://lichess.org/OsT1JzVm#21,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
02yx6,8/8/8/p1ppk1pp/8/PPP1K1PP/8/8 w - - 1 33,e3f3 d5d4 f3e2 d4c3,2384,79,66,98,crushing endgame pawnEndgame short,https://lichess.org/wGrAi4mg#65,
02yxb,2kr3r/5p2/2pp1qb1/p3p1p1/2P3P1/2N1P1pR/PP1QBP2/R3K3 w Q - 0 26,h3h8 f6f2 e1d1 d8h8 d2d6 h8d8 d6d8 c8d8,2425,85,72,72,attackingF2F7 crushing intermezzo middlegame pin veryLong,https://lichess.org/W8lnQSmA#51,
02z11,r1b1k2r/ppp1qppp/3p1n2/4n3/2Bb4/5N2/PP3PPP/RNBQR1K1 w kq - 0 10,d1d4 e5f3 g2f3 e7e1,865,97,91,1528,crushing discoveredAttack kingsideAttack opening short,https://lichess.org/vccAanBW#19,Italian_Game Italian_Game_Classical_Variation
02z4P,rn3rk1/pb2q1b1/2p1pnQ1/1p4BP/3PN3/4P3/PP3PP1/R3K2R b KQ - 0 18,e7f7 e4f6 f7f6 g5f6,1100,77,95,5677,crushing kingsideAttack middlegame short,https://lichess.org/LdCwrvGW/black#36,Slav_Defense Slav_Defense_Other_variations
02z5C,r1b2rk1/3nppb1/p4npB/q2pN1Qp/1p1P3P/2N2P2/PPP1B1P1/R3K2R w KQ - 0 14,e5g6 f7g6 h6g7 g8g7,1957,183,100,13,equality middlegame short,https://lichess.org/6QkQ7PUa#27,
02zCV,r4k1r/1pp2pp1/1b1p1P2/pP6/P2P1nq1/1Q3N1p/3N1P2/R1B1RB1K w - - 0 21,d2e4 g4g2 f1g2 h3g2 h1g1 h8h1,1763,75,91,427,advancedPawn doubleCheck exposedKing kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/v38zZpfY#41,
02zGr,r3r1k1/p3p2p/6pB/1p1pq1N1/8/1P1pnQ1P/1b4P1/5R1K b - - 1 29,e3f1 f3f7 g8h8 f7h7,1698,143,52,21,fork mate mateIn2 middlegame short,https://lichess.org/iw2mpgPl/black#58,
02zMY,6k1/1p3p2/2p2Q2/2Pp1K2/1P1P1p2/8/6qP/8 b - - 5 37,g2g6 f6g6 f7g6 f5f4,1791,76,91,2126,crushing endgame master queenEndgame short,https://lichess.org/AN93HtvD/black#74,
02zOY,r4r1k/ppp3pp/1q1pQ3/3P2b1/4RB2/8/PP3PPP/R5K1 w - - 3 23,f4g5 b6f2 g1h1 f2f1 a1f1 f8f1,923,94,95,242,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/UEFHgetY#45,
02zVb,r2q1r2/p5k1/3b1ppp/1p1p4/2pP4/P1P2Q1P/1P1N1PP1/R3R1K1 w - - 0 24,f3d5 d6h2 g1h2 d8d5,970,81,90,380,advantage discoveredAttack middlegame short,https://lichess.org/1jp7XnRC#47,
02zd6,rn3r1k/ppn2pR1/4q2B/4p3/7Q/8/PP2bP1P/1K1R4 b - - 3 21,e2d1 g7g5 e6g6 g5g6,2277,88,74,53,crushing middlegame short,https://lichess.org/54HXXViW/black#42,
02zkV,2r5/1kb3p1/p2Q1pP1/1p3P2/2b5/P1B5/1P6/K7 w - - 1 35,d6d7 c8d8 d7d8 c7d8,938,75,96,250,advantage endgame short,https://lichess.org/JQX7XXkh#69,
02zlF,r1b2rk1/pp3p2/6pp/4pn2/3nN1P1/3P3Q/Pq2PPBP/4RK1R b - - 1 19,f5g7 e4f6 g8h8 h3h6,1131,96,73,19,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/bS5fKyN5/black#38,English_Opening English_Opening_Symmetrical_Variation
02znl,5rk1/3q1p1p/3p2p1/2pN1P2/6P1/2P1BN2/1b1K3P/3R4 b - - 0 22,g6f5 d5f6 g8g7 f6d7,1024,77,97,1944,crushing fork master middlegame short,https://lichess.org/oZVbILpI/black#44,
02zpZ,3r2k1/pQ3pp1/6p1/3pR3/6P1/5KB1/PPP2P2/7q w - - 1 30,f3f4 g6g5 f4e3 d5d4,1754,113,86,23,crushing endgame short,https://lichess.org/erBhAmqa#59,
02zuS,2r3rk/3R2pp/6b1/4B2P/2q1p1Q1/8/6PK/8 b - - 0 40,g6h5 e5g7 g8g7 g4g7,1324,74,96,14598,mate mateIn2 middlegame short,https://lichess.org/BHY6onWK/black#80,
02zzS,5rk1/pp3p2/3p2p1/2pP4/2P1Pn1p/4RP1q/PP2NQrP/4R2K w - - 2 29,e2f4 h3h2,950,81,93,646,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/PIXNjx5V#57,
0300T,r2qk2r/pppb2p1/2n1pbQp/8/8/P1N1BN1P/1PP2PP1/R3K2R b KQq - 3 14,e8e7 e3c5,1094,77,78,162,mate mateIn1 middlegame oneMove,https://lichess.org/6Q9g5Dgx/black#28,Zukertort_Opening Zukertort_Opening_Pirc_Invitation
030BR,5k2/1R3p2/4pN1p/p4p2/r4K2/1p3PP1/7P/8 w - - 2 37,f4e5 a4b4 b7b4 a5b4,1232,74,92,3922,crushing endgame short,https://lichess.org/U1kxIZk2#73,
030DH,r4r1k/p5pp/1np2n2/1p3B2/2pPR3/P2q2BQ/5PPP/R5K1 b - - 2 25,f6e4 h3h7,1168,206,33,7,kingsideAttack master masterVsMaster mate mateIn1 middlegame oneMove,https://lichess.org/OyWh4EPa/black#50,
030Dh,8/7p/8/P1b3k1/6p1/1PN2pK1/8/8 b - - 3 43,h7h5 c3e4 g5f5 e4c5 h5h4 g3f2,1748,78,96,721,crushing endgame fork long master,https://lichess.org/LrAkFp2W/black#86,
030I0,5r2/4r1k1/3p1pbp/1Pp5/2P5/P2PqR1B/4P2p/1R2QK2 w - - 0 32,h3g2 e3g1,1494,491,100,1,mate mateIn1 middlegame oneMove,https://lichess.org/vFq7i8gS#63,
030KR,6k1/6pp/3P1r2/Q3p3/8/P4qP1/7P/KR6 b - - 0 36,f6d6 b1b8 g8f7 a5c7 f7e6 b8e8 e6f5 g3g4 f5f4 c7d6 f3c3 a1b1,2312,117,87,29,crushing endgame fork master veryLong,https://lichess.org/fsA3QJBR/black#72,
030M4,2k5/1ppq1bb1/P2p3p/B1nP1p2/2PNr1p1/5N2/5PPP/1R1Q2K1 b - - 0 27,b7a6 d4c6 d7c6 d5c6,1649,76,74,348,crushing middlegame quietMove short,https://lichess.org/OQPrbW5b/black#54,
030Tw,r2q2rk/1pp4p/p2bQ2B/5p2/3P4/8/PP3PPP/R4RK1 w - - 0 24,e6f5 d8h4 g2g3 h4h6,2035,76,93,11086,advantage middlegame short,https://lichess.org/wEgsNKHq#47,
030VF,5rk1/2R1Rp2/1p2p1p1/8/3PB2p/Q3q2P/PP3rP1/6K1 b - - 1 32,e3e4 g1f2 e4d4 a3e3,1933,75,87,114,advantage endgame short,https://lichess.org/XGrSmXTm/black#64,
030Zf,8/pp3pp1/4k3/1P2q1P1/P1R1P1Pp/5Q1P/2PrnB2/6K1 w - - 9 39,g1f1 e5a1 f1g2 e2g3 f3f5 g3f5,2492,88,89,768,crushing endgame long pin,https://lichess.org/n0YS2coM#77,
030fP,3kq1Q1/1p6/p2p4/3N4/6b1/8/PP5P/6K1 w - - 5 31,g8g4 e8e1 g1g2 e1d2 g2g3 d2d5,1420,165,100,17,endgame equality fork long,https://lichess.org/a7xA5veb#61,
030gZ,4r3/3p2kp/1R1P1pp1/p1r1p3/8/N3KP2/P5PP/5R2 w - - 0 36,f1b1 c5c3 e3f2 c3a3,803,89,88,797,advantage endgame fork short,https://lichess.org/cOXd6aM6#71,
030jw,6k1/2Q2pp1/1rp3qp/p2p4/P7/1PP5/2P1r1PP/3R2RK b - - 0 26,b6a6 c7c8 g8h7 c8a6,939,88,92,722,crushing endgame fork short,https://lichess.org/8t5XMSJU/black#52,
030kk,8/4k1p1/4p3/7Q/5PP1/1P3R1K/2Prq2P/8 w - - 9 37,h5g5 e7f8 g5c5 f8g8 f3f2 e2f2 c5f2 d2f2,2128,80,92,182,crushing defensiveMove endgame veryLong,https://lichess.org/fbcUmmjs#73,
030nT,8/5r1k/1p4pb/8/8/pP1PQ1P1/q4PK1/7R b - - 2 39,g6g5 e3b6 a2f2 b6f2 f7f2 g2f2,2334,86,86,188,crushing endgame long master,https://lichess.org/x0Ob4OmA/black#78,
030o8,5r1k/6p1/p1R5/1p4PP/6R1/P7/5rK1/8 w - - 0 39,g2g3 f8f3 g3h4 f2h2,1195,76,100,78,endgame mate mateIn2 rookEndgame short,https://lichess.org/JwSBkIUT#77,
030s5,5rb1/R7/4r1k1/3pRp1p/5K1P/2PB4/P1P5/8 w - - 1 41,d3f5 f8f5 e5f5 e6e4 f4f3 g6f5,1277,77,84,190,advantage deflection endgame long sacrifice,https://lichess.org/UjBV4gUi#81,
030ui,2kr1b1r/pp1q1ppp/2pB1n2/3p4/6P1/2NB3P/PPPQ1P2/2KRR3 b - - 0 15,f8d6 d3f5 d7f5 g4f5,1052,78,98,1059,advantage middlegame pin short,https://lichess.org/rB88dE71/black#30,Scotch_Game Scotch_Game_Other_variations
030wp,5r1k/p4Bbp/3q2p1/8/2Q1p1P1/5n2/2PB1P1P/3QK2R w K - 2 31,e1f1 f3d2 f1g2 d2c4,1085,75,100,763,advantage fork master middlegame short,https://lichess.org/OWfwMM1O#61,
03150,2r2r1k/1p3p2/p4P1p/2q5/P7/2P4Q/5RP1/4R1K1 b - - 7 37,c5g5 e1e5 g5g6 e5h5 h8h7 f2f5 c8c6 h5g5 g6f6 f5f6,2536,91,69,39,crushing endgame pin quietMove trappedPiece veryLong,https://lichess.org/wI9ahusI/black#74,
03170,8/8/p2k1ppp/1p1p4/PP1K2P1/1P3P2/7P/8 b - - 0 36,f6f5 g4f5 g6f5 f3f4,2201,75,92,1003,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/IYRPGqpI/black#72,
031G5,r1bqk1r1/ppp2p2/1bnp1n1p/4p1pQ/2B1P2N/2PPB2P/PP3PP1/RN3RK1 b q - 1 10,b6e3 h5f7,1156,76,88,3753,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/m5wbGsv8/black#20,Italian_Game Italian_Game_Classical_Variation
031Kv,r3k1nr/pp3pp1/1bn2q1p/4p3/6b1/2PPBNP1/PP3PBP/RN1Q1RK1 w kq - 2 11,d1b3 g4f3 g2f3 f6f3,1155,79,87,691,advantage opening short,https://lichess.org/UsYQB9NP#21,Kings_Pawn_Game Kings_Pawn_Game_Macleod_Attack
031PB,3r2bk/R6p/6p1/6b1/P7/7P/5PP1/2R3K1 w - - 1 40,c1c7 d8d1 g1h2 g5f4 g2g3 f4c7,963,75,97,2666,advantage endgame fork long,https://lichess.org/NT05Kx1X#79,
031RQ,r4rk1/2q2ppp/p3p3/2pnP3/6Q1/1P5P/PB3PP1/2R2RK1 b - - 0 19,d5b4 g4b4 c5b4 c1c7,1497,74,94,1239,crushing middlegame short,https://lichess.org/hieAUlAG/black#38,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Classical_Variation
031WO,r1bqr1k1/pp2bpp1/2p2n1p/3p4/5Q1B/3B1N2/PPP2PPP/R3R1K1 b - - 3 14,f6h7 d3h7 g8h7 f4f7,2246,78,92,2730,advantage kingsideAttack middlegame short,https://lichess.org/RgAXnjrk/black#28,Ruy_Lopez Ruy_Lopez_Berlin_Defense
031jj,8/8/1p3p1k/p1rR1P2/4K3/1P6/P7/8 b - - 1 50,c5d5 e4d5 b6b5 d5e6 h6g5 a2a3 b5b4 a3a4 g5f4 e6f6,1958,164,82,9,crushing endgame quietMove veryLong zugzwang,https://lichess.org/CaYI3n2q/black#100,
031mx,8/5pk1/8/8/1R2npp1/1B6/PP3PPK/4r3 w - - 4 41,g2g3 f4f3 b4e4 e1e4,2277,77,91,544,crushing endgame short,https://lichess.org/TqlzDxI8#81,
031pC,r2qk2r/pppb1ppp/1b3n2/4B3/2Q5/2N5/PPP3PP/2KR1B1R b kq - 0 12,e8g8 e5f6 d8f6 d1d7,1136,77,92,3750,capturingDefender crushing opening short,https://lichess.org/yW0Xt7CQ/black#24,Center_Game Center_Game_Normal_Variation
031po,r1b1kb1r/ppp1qppp/2P5/8/6n1/2N2p2/PP3KPP/R1BQ1BNR w kq - 3 10,f2f3 e7f6 c1f4 g4e5,2306,78,85,139,crushing opening short,https://lichess.org/i4AuYirN#19,Queens_Gambit_Declined Queens_Gambit_Declined_Normal_Defense
031tN,r2q1rk1/1bppnpbp/p5p1/1p3PN1/3nP3/1B6/PP4PP/RNBQ1RK1 b - - 0 12,g6f5 d1h5 h7h6 g5f7 f8f7 b3f7,2537,97,85,473,advantage kingsideAttack long opening,https://lichess.org/fRuCare2/black#24,Ruy_Lopez Ruy_Lopez_Cozio_Defense
0328R,4k1r1/3rp3/8/1Q3R1p/4pB1P/P1P3PK/1P6/4q3 w - - 3 29,f5d5 e1h1,1112,77,91,201,endgame mate mateIn1 oneMove,https://lichess.org/kmOQNqpY#57,
032GR,8/8/8/1p4p1/pP2K1k1/P5Pp/7P/8 w - - 0 44,e4d5 g4f3 d5c5 f3g2,928,114,33,36,crushing endgame pawnEndgame short,https://lichess.org/dSOobIvA#87,
032KQ,2q1r1k1/2P3p1/3Q1p2/1P6/8/7P/6PK/8 b - - 0 44,e8e6 d6d8 e6e8 d8c8 e8c8 b5b6,1332,98,100,55,advantage endgame long,https://lichess.org/ZNFE2oBN/black#88,
032NX,7k/1ppq1p2/3p1n1p/p2Pp2b/P1P1P2P/3Qb3/1BB3PK/R7 w - - 0 33,d3e3 f6g4 h2g1 g4e3,803,78,100,63,crushing fork middlegame short,https://lichess.org/zEQE9ZY2#65,
032Se,5Rk1/3bb1p1/1q2p1Qp/1P2P3/2pNp3/2P1P2P/6P1/6K1 b - - 0 29,g8f8 d4f5 e7c5 g6g7,1787,75,87,51,crushing endgame short,https://lichess.org/rPC9v0qt/black#58,
032Z3,8/5pk1/q2p1n2/p3p1p1/Pp2P1P1/1B1p1P2/1PPQ4/2K5 b - - 1 29,d3c2 d2g5 g7f8 g5f6 a6f1 c1c2,1368,76,86,426,crushing deflection endgame long,https://lichess.org/MAc4nc6c/black#58,
032ZT,1k1r4/p1p4p/B7/1P1p1P1n/3P4/4nR1P/6P1/6K1 b - - 1 30,e3f5 f3f5,834,146,33,42,endgame equality hangingPiece oneMove,https://lichess.org/lP9sZ8wK/black#60,
032cs,r4rk1/p3qppp/6n1/2p1n3/5p2/BP3B1P/P1P3P1/R2Q1RK1 b - - 0 18,g6h4 f3a8 f8a8 f1f4,1222,233,-33,3,advantage discoveredAttack middlegame short,https://lichess.org/xiW0GUEY/black#36,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bonsch-Osmolovsky_Variation
032uw,2k1r2r/1pp3p1/p3pn2/4q3/1PB3Qp/P3P2P/5P2/2RR3K w - - 2 23,g4g7 h8g8,2375,80,90,994,crushing middlegame oneMove,https://lichess.org/5DUnGYMj#45,
0331W,rn3rk1/pp3ppp/4p3/3p1b2/2PPn2P/q1PB1N2/P1QB1PP1/1K1R3R b - - 6 14,e4f2 d3f5 e6f5 d2c1 a3a5 c2f2,2180,77,91,906,advantage discoveredAttack long middlegame,https://lichess.org/CYeYG4HS/black#28,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations
0335U,r3N1k1/1p3ppp/p3b3/8/1n1q4/1Q1B1P2/P1PK2PP/3R3R w - - 7 21,b3c3 d4f2 d2c1 b4a2,1246,104,100,58,crushing middlegame short,https://lichess.org/HdPa2NOJ#41,
0339q,8/2pbb2p/8/2p1kpP1/2PpB3/1P1N1K2/r6P/2B5 b - - 3 37,e5d6 c1f4 d6e6 e4d5,1287,76,94,2283,endgame mate mateIn2 short,https://lichess.org/6qaaVRl8/black#74,
033B5,rn1qk1nr/pp1bp1bp/4p1p1/1BpP4/8/2N5/PPP3PP/R1BQK1NR w KQkq - 0 10,d5e6 g7c3 b2c3 d7b5,1715,75,95,12397,advantage master opening short,https://lichess.org/4XnfzUyg#19,Indian_Defense Indian_Defense_Reversed_Chigorin_Defense
033Gi,7k/4b3/3p3p/1p2prpn/6R1/PP2BP1q/4QP1P/3R3K w - - 0 30,e2b5 h3f3 g4g2 f3d1,1398,75,97,6031,crushing fork middlegame short,https://lichess.org/9RaY75lQ#59,
033KN,8/8/6p1/2k2p1p/5P1P/3K1P2/8/8 b - - 3 40,c5b4 d3d4 b4b3 d4e5 b3c4 e5f6,898,79,94,453,crushing endgame long pawnEndgame,https://lichess.org/7ZY88XSP/black#80,
033Pi,r1b2rk1/pp3p2/6p1/q6p/2P2B2/3P4/P2N1PpP/Q3R1K1 b - - 0 20,c8e6 f4h6 f7f6 e1e6,1778,75,86,88,advantage middlegame short,https://lichess.org/PioCNltD/black#40,
033Sv,r6r/1p2ppk1/2nq2p1/p2p2Qp/3P4/2P2B2/PP3PPP/R3R1K1 w - - 2 22,f3d5 f7f6 g5e3 d6d5,1309,75,93,1004,advantage middlegame short,https://lichess.org/0BREeL8i#43,
033TS,8/8/R7/8/1pk5/7P/P2r4/6K1 w - - 0 63,a6c6 c4b5 c6c8 d2a2,1445,77,81,219,crushing defensiveMove endgame rookEndgame short,https://lichess.org/rNa0JEuv#125,
